ordinal,item,itemLabel,inception,inceptionPrecision,startTime,startTimePrecision,abolished,abolishedPrecision,endTime,endTimePrecision,replaces,replacesLabel,replacedBy,replacedByLabel,follows,followsLabel,followedBy,followedByLabel
,Q3111868,Andrianarivo Cabinet,1998-07-31,11,,,2002-05-06,11,,,,,Q3112481,Sylla Cabinet,,,,
,Q3112481,Sylla Cabinet,2002-06-18,11,,,2007-01-19,11,,,Q3111868,Andrianarivo Cabinet,Q3112398,Rabemananjara Cabinet,,,,
,Q3112398,Rabemananjara Cabinet,2007-01-19,11,,,2007-10-27,11,,,Q3112481,Sylla Cabinet,Q3025311,2nd Rabemananjara Cabinet,,,,
,Q3025311,2nd Rabemananjara Cabinet,2007-10-28,11,,,2008-04-30,11,,,Q3112398,Rabemananjara Cabinet,Q3540191,3rd Rabemananjara Cabinet,,,,
,Q3540191,3rd Rabemananjara Cabinet,2008-04-30,11,,,,,,,Q3025311,2nd Rabemananjara Cabinet,,,,,,
,Q25387076,Mahafaly Cabinet,2016-04-15,11,,,2018-06-04,11,,,,,,,,,,
,Q89269309,Ntsay Cabinet,2018-06-04,11,2018-06-04,11,,,,,,,,,,,,
