position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Member of the National Assembly,Lobo Hanitriniaina Razafimanantsoa,Q108679054,2013,,female,1964-01-11,,,
Member of the National Assembly,Lydia Aimée Vololona Rahantasoa,Q6707578,2013,2018-06-14,female,,,,Lydia Aimée Vololona Rahantasoa
Member of the National Assembly,Rossy,Q4027440,2014,,male,1960-09-20,,Paul Bert Rahasimanana - Rossy - Madagascar.jpg,Rossy (musician)
