id,position,country,jurisdiction,deputy,list,start,end,before,after,enwiki
Q19161338,President of Madagascar,Q1019,Q1019,,,,,,,
Q23782691,Prime Minister of Madagascar,Q1019,Q1019,,Q1147512,,,,,
Q18204377,Minister of Foreign Affairs,Q1019,Q1019,,,,,,,Minister of Foreign Affairs (Madagascar)
Q98582633,Health Minister of Madagascar,,Q1019,,,,,,,Health Minister (Madagascar)
Q89287583,"minister of Industry, Trade and Crafts",Q1019,,,,,,,,
Q6797654,Mayor of Antananarivo,Q1019,Q3915,,,,,,,Mayor of Antananarivo
